g,p,rtgs
กรมการอำเภอ,krom1 kAn1 ?am1 PZ-1,kromkanamphoe
กรมการแพทย์,krom1 kAn1 PYt3,kromkanphaet
กรมชลประทาน,krom1 Con1 la-4 pra-1 TAn1,kromchonlaprathan
กรมตำรวจ,krom1 tam1 rRt2,kromtamruat
กรมทรัพย์สินทางปัญญา,krom1 sap4 sin5 TAN1 pan1 jA-1,kromsapsinthangpanya
กรมทางหลวง,krom1 TAN1 lRN5,kromthangluang
กรมที่ดิน,krom1 TI-3 din1,kromthidin
กรมท่า,krom1 ma-4 TA-3,krommatha
กรมธนารักษ์,krom1 Ta-4 nA-1 rak4,kromthanarak
กรมธรรม์,krom1 ma-4 Tan1,krommathan
กรมธรรม์ประกันภัย,krom1 ma-4 Tan1 pra-1 kan1 Paj1,krommathanprakanphai
กรมนา,krom1 nA-1,kromna
กรมบัญชีกลาง,krom1 ban1 CI-1 klAN1,krombanchiklang
กรมประชาสงเคราะห์,krom1 pra-1 CA-1 soN5 Krx?4,kromprachasongkhro
กรมประชาสัมพันธ์,krom1 pra-1 CA-1 sam5 Pan1,kromprachasamphan
กรมประมง,krom1 pra-1 moN1,krompramong
กรมปศุสัตว์,krom1 pa-2 su?2 sat2,krompasusat
กรมป่าไม้,krom1 pA-2 mAj4,krompamai
กรมพระธรรมนูญ,krom1 Pra-4 Tam1 ma-4 nUn1,kromphrathammanun
กรมพระยา,krom1 Pra-4 jA-1,kromphraya
กรมราชทัณฑ์,krom1 rAt3 Ca-4 Tan1,kromratchathan
กรมศิลปากร,krom1 sin5 pA-1 kXn1,kromsinpakon
กรมศุลกากร,krom1 sun5 la-4 kA-1 kXn1,kromsunlakakon
กรมสนธิสัญญาและกฎหมาย,krom1 son5 Ti?4 san5 jA-1 ly?4 kot2 mAj5,kromsonthisanyalaekotmai
กรมสรรพากร,krom1 san5 PA-1 kXn1,kromsanphakon
กรมสวัสดิการและคุ้มครองแรงงาน,krom1 sa-1 wat2 di?2 kAn1 ly?4 Kum4 KrXN1 rYN1 NAn1,kromsawatdikanlaekhumkhrongraengngan
กรมสารนิเทศ,krom1 sA-5 ra-4 ni?4 TEt3,kromsaranithet
กรมสุขภาพจิต,krom1 suk2 Ka-2 PAp3 cit2,kromsukkhaphapchit
กรมหมื่น,krom1 ma-1 mVn2,krommamuen
กรมหลวง,krom1 lRN5,kromluang
กรมอนามัย,krom1 ?a-2 nA-1 maj1,kromanamai
กรมอุตุนิยมวิทยา,krom1 ?u?2 tu?2 ni?4 jom1 wit4 Ta-4 jA-1,kromutuniyomwitthaya
กรมเจ้าท่า,krom1 caw3 TA-3,kromchaotha
กรมโยธาธิการ,krom1 jO-1 TA-1 Ti?4 kAn1,kromyothathikan
กรรชิง,kan1 CiN1,kanching
กรรตุ,kat2 tu?2,kattu
กรรตุการก,kan1 tu?2 kA-1 rok4,kantukarok
กรรตุวาจก,kat2 tu?2 wA-1 cok2,kattuwachok
กรรมกร,kam1 ma-4 kXn1,kammakon
กรรมการ,kam1 ma-4 kAn1,kammakan
กรรมการก,kam1 ma-4 kA-1 rok4,kammakarok
กรรมการผู้จัดการ,kam1 ma-4 kAn1 PU-3 cat2 kAn1,kammakanphuchatkan
กรรมฐาน,kam1 ma-4 TAn5,kammathan
กรรมพันธุ์,kam1 ma-4 Pan1,kammaphan
กรรมพิธี,kam1 ma-4 Pi?4 TI-1,kammaphithi
กรรมวาจก,kam1 ma-4 wA-1 cok2,kammawachok
กรรมวิธี,kam1 ma-4 wi?4 TI-1,kammawithi
กรรมสิทธิ์,kam1 ma-4 sit2,kammasit
กรรมาชีพ,kam1 mA-1 CIp3,kammachip
กรรมาธิการ,kam1 mA-1 Ti?4 kAn1,kammathikan
กรรมเก่า,kam1 kaw2,kamkao
กรรมเวร,kam1 wEn1,kamwen
กรรเชียง,kan1 CJN1,kanchiang
กรรโชก,kan1 COk3,kanchok
กรรไกร,kan1 kraj1,kankrai
กรรไตร,kan1 traj1,kantrai
กรวดทราย,krRt2 sAj1,kruatsai
กรวดน้ำ,krRt2 nAm4,kruatnam
กรวดน้ำคว่ำขัน,krRt2 nAm4 Kwam3 Kan5,kruatnamkhwamkhan
กรอกแกรก,krXk2 krYk2,krokkraek
กรองทอง,krXN1 TXN1,krongthong
กรอบรูป,krXp2 rUp3,kroprup
กรอบหน้า,krXp2 nA-3,kropna
กรอบเช็ดหน้า,krXp2 Cet4 nA-3,kropchetna
กรอบแกรบ,krXp2 krYp2,kropkraep
กระกร,kra-1 kXn1,krakon
กระจก,kra-1 cok2,krachok
กระจกข้าง,kra-1 cok2 KAN3,krachokkhang
กระจกตา,kra-1 cok2 tA-1,krachokta
กระจกนูน,kra-1 cok2 nUn1,krachoknun
กระจกฝ้า,kra-1 cok2 fA-3,krachokfa
กระจกส่อง,kra-1 cok2 sXN2,krachoksong
กระจกหน้ารถ,kra-1 cok2 nA-3 rot4,krachoknarot
กระจกหน้ารถยนต์,kra-1 cok2 nA-3 rot4 jon1,krachoknarotyon
กระจกหลัง,kra-1 cok2 laN5,krachoklang
กระจกหุง,kra-1 cok2 huN5,krachokhung
กระจกเงา,kra-1 cok2 Naw1,krachokngao
กระจกเว้า,kra-1 cok2 waw4,krachokwao
กระจง,kra-1 coN1,krachong
กระจอก,kra-1 cXk2,krachok
กระจอกงอกง่อย,kra-1 cXk2 NXk3 NXj3,krachokngokngoi
กระจะ,kra-1 ca?2,kracha
กระจัด,kra-1 cat2,krachat
กระจัดกระจาย,kra-1 cat2 kra-1 cAj1,krachatkrachai
กระจัดพลัดพราย,kra-1 cat2 Plat4 PrAj1,krachatphlatphrai
กระจับ,kra-1 cap2,krachap
กระจาด,kra-1 cAt2,krachat
กระจาบ,kra-1 cAp2,krachap
กระจาย,kra-1 cAj1,krachai
กระจายอำนาจ,kra-1 cAj1 ?am1 nAt3,krachaiamnat
กระจายเสียง,kra-1 cAj1 sJN5,krachaisiang
กระจิบ,kra-1 cip2,krachip
กระจิริด,kra-1 ci?2 rit4,krachirit
กระจิ๋ว,kra-1 ciw5,krachio
กระจิ๋วหลิว,kra-1 ciw5 liw5,krachiolio
กระจุก,kra-1 cuk2,krachuk
กระจุกกระจิก,kra-1 cuk2 kra-1 cik2,krachukkrachik
กระจุย,kra-1 cuj1,krachui
กระจุ๋มกระจิ๋ม,kra-1 cum5 kra-1 cim5,krachumkrachim
กระจูด,kra-1 cUt2,krachut
กระจ่า,kra-1 cA-2,kracha
กระจ่าง,kra-1 cAN2,krachang
กระจ่างแจ้ง,kra-1 cAN2 cYN3,krachangchaeng
กระจ้อย,kra-1 cXj3,krachoi
กระจ้อยร่อย,kra-1 cXj3 rXj3,krachoiroi
กระฉอก,kra-1 CXk2,krachok
กระฉอกกระแฉก,kra-1 CXk2 kra-1 CYk2,krachokkrachaek
กระฉับกระเฉง,kra-1 Cap2 kra-1 CEN5,krachapkracheng
กระฉูด,kra-1 CUt2,krachut
กระฉ่อน,kra-1 CXn2,krachon
กระชอน,kra-1 CXn1,krachon
กระชัง,kra-1 CaN1,krachang
กระชังก้นรั่ว,kra-1 CaN1 kon3 rR-3,krachangkonrua
กระชับ,kra-1 Cap4,krachap
กระชั้น,kra-1 Can4,krachan
กระชั้นชิด,kra-1 Can4 Cit4,krachanchit
กระชาก,kra-1 CAk3,krachak
กระชาย,kra-1 CAj1,krachai
กระชุ,kra-1 Cu-4,krachu
กระชุ่มกระชวย,kra-1 Cum3 kra-1 CRj1,krachumkrachuai
กระซาบ,kra-1 sAp3,krasap
กระซิก,kra-1 sik4,krasik
กระซิบ,kra-1 sip4,krasip
กระซิบกระซาบ,kra-1 sip4 kra-1 sAp3,krasipkrasap
กระซู่,kra-1 sU-3,krasu
กระฎุมพี,kra-1 dum1 PI-1,kradumphi
กระดก,kra-1 dok2,kradok
กระดอ,kra-1 dX-1,krado
กระดอง,kra-1 dXN1,kradong
กระดอน,kra-1 dXn1,kradon
กระดังงา,kra-1 daN1 NA-1,kradangnga
กระดังงาจีน,kra-1 daN1 NA-1 cIn1,kradangngachin
กระดังงาลนไฟ,kra-1 daN1 NA-1 lon1 faj1,kradangngalonfai
กระดาก,kra-1 dAk2,kradak
กระดากใจ,kra-1 dAk2 caj1,kradakchai
กระดาน,kra-1 dAn1,kradan
กระดานข่าว,kra-1 dAn1 KAw2,kradankhao
กระดานชนวน,kra-1 dAn1 Ca-4 nRn1,kradanchanuan
กระดานดำ,kra-1 dAn1 dam1,kradandam
กระดานถีบ,kra-1 dAn1 TIp2,kradanthip
กระดานลื่น,kra-1 dAn1 lVn3,kradanluen
กระดานหก,kra-1 dAn1 hok2,kradanhok
กระดานหมากรุก,kra-1 dAn1 mAk2 ruk4,kradanmakruk
กระดานโต้คลื่น,kra-1 dAn1 tO-3 KlVn3,kradantokhluen
กระดานไฟ,kra-1 dAn1 faj1,kradanfai
กระดาษ,kra-1 dAt2,kradat
กระดาษกรอง,kra-1 dAt2 krXN1,kradatkrong
กระดาษกาว,kra-1 dAt2 kAw1,kradatkao
กระดาษชำระ,kra-1 dAt2 Cam1 ra?4,kradatchamra
กระดาษซับ,kra-1 dAt2 sap4,kradatsap
กระดาษทราย,kra-1 dAt2 sAj1,kradatsai
กระดาษฟาง,kra-1 dAt2 fAN1,kradatfang
กระดาษสา,kra-1 dAt2 sA-5,kradatsa
กระดาษสี,kra-1 dAt2 sI-5,kradatsi
กระดาษเขียนจดหมาย,kra-1 dAt2 KJn5 cot2 mAj5,kradatkhianchotmai
กระดาษเช็ดปาก,kra-1 dAt2 Cet4 pAk2,kradatchetpak
กระดาษแก้ว,kra-1 dAt2 kYw3,kradatkaeo
กระดาษแข็ง,kra-1 dAt2 KyN5,kradatkhaeng
กระดำกระด่าง,kra-1 dam1 kra-1 dAN2,kradamkradang
กระดิก,kra-1 dik2,kradik
กระดิกกระเดี้ย,kra-1 dik2 kra-1 dJ-3,kradikkradia
กระดิกหู,kra-1 dik2 hU-5,kradikhu
กระดิบ,kra-1 dip2,kradip
กระดิ่ง,kra-1 diN2,krading
กระดี่,kra-1 dI-2,kradi
กระดี๊กระด๊า,kra-1 dI-4 kra-1 dA-4,kradikrada
กระดืบ,kra-1 dVp2,kraduep
กระดุกกระดิก,kra-1 duk2 kra-1 dik2,kradukkradik
กระดุม,kra-1 dum1,kradum
กระดูก,kra-1 dUk2,kraduk
กระดูกขัดมัน,kra-1 dUk2 Kat2 man1,kradukkhatman
กระดูกสันหลัง,kra-1 dUk2 san5 laN5,kraduksanlang
กระดูกอ่อน,kra-1 dUk2 ?Xn2,kradukon
กระดูกเชิงกราน,kra-1 dUk2 CZN1 krAn1,kradukchoengkran
กระดูกเหล็ก,kra-1 dUk2 lek2,kraduklek
กระดูกแข็ง,kra-1 dUk2 KyN5,kradukkhaeng
กระด้ง,kra-1 doN3,kradong
กระด้าง,kra-1 dAN3,kradang
กระด้างกระเดื่อง,kra-1 dAN3 kra-1 dWN2,kradangkradueang
กระตั้ว,kra-1 tR-3,kratua
กระติก,kra-1 tik2,kratik
กระติกน้ำร้อน,kra-1 tik2 nAm4 rXn4,kratiknamron
กระติบ,kra-1 tip2,kratip
กระตือรือร้น,kra-1 tV-1 rV-1 ron4,kratuerueron
กระตุก,kra-1 tuk2,kratuk
กระตุกกระติก,kra-1 tuk2 kra-1 tik2,kratukkratik
กระตุ้งกระติ้ง,kra-1 tuN3 kra-1 tiN3,kratungkrating
กระตุ้น,kra-1 tun3,kratun
กระตุ้นเตือน,kra-1 tun3 tWn1,kratuntuean
กระต่าย,kra-1 tAj2,kratai
กระต่ายขูดมะพร้าว,kra-1 tAj2 KUt2 ma?4 PrAw4,krataikhutmaphrao
กระต่ายชมจันทร์,kra-1 tAj2 Com1 can1,krataichomchan
กระต่ายตื่นตูม,kra-1 tAj2 tVn2 tUm1,krataituentum
กระต่ายป่า,kra-1 tAj2 pA-2,krataipa
กระต่ายสามขา,kra-1 tAj2 sAm5 KA-5,krataisamkha
กระต่ายหมายจันทร์,kra-1 tAj2 mAj5 can1,krataimaichan
กระต๊อบ,kra-1 tXp4,kratop
กระถด,kra-1 Tot2,krathot
กระถาง,kra-1 TAN5,krathang
กระถางต้นไม้,kra-1 TAN5 ton3 mAj4,krathangtonmai
กระถางธูป,kra-1 TAN5 TUp3,krathangthup
กระถิน,kra-1 Tin5,krathin
กระถินนา,kra-1 Tin5 nA-1,krathinna
กระถินเทศ,kra-1 Tin5 TEt3,krathinthet
กระทก,kra-1 Tok4,krathok
กระทง,kra-1 ToN1,krathong
กระทงความ,kra-1 ToN1 KwAm1,krathongkhwam
กระทงนา,kra-1 ToN1 nA-1,krathongna
กระทงป่า,kra-1 ToN1 pA-2,krathongpa
กระทงลาย,kra-1 ToN1 lAj1,krathonglai
กระทงเพชร,kra-1 ToN1 Pet4,krathongphet
กระทด,kra-1 Tot4,krathot
กระทบ,kra-1 Top4,krathop
กระทบกระทั่ง,kra-1 Top4 kra-1 TaN3,krathopkrathang
กระทบกระเทียบ,kra-1 Top4 kra-1 TJp3,krathopkrathiap
กระทบกระเทือน,kra-1 Top4 kra-1 TWn1,krathopkrathuean
กระทบกระแทก,kra-1 Top4 kra-1 TYk3,krathopkrathaek
กระทบใจ,kra-1 Top4 caj1,krathopchai
กระทบไหล่,kra-1 Top4 laj2,krathoplai
กระทรวง,kra-1 sRN1,krasuang
กระทรวงกลาโหม,kra-1 sRN1 ka-2 lA-1 hOm5,krasuangkalahom
กระทรวงการคลัง,kra-1 sRN1 kAn1 KlaN1,krasuangkankhlang
กระทรวงการต่างประเทศ,kra-1 sRN1 kAn1 taN2 pra-1 TEt3,krasuangkantangprathet
กระทรวงคมนาคม,kra-1 sRN1 Ka-4 ma-4 nA-1 Kom1,krasuangkhamanakhom
กระทรวงพาณิชย์,kra-1 sRN1 PA-1 nit4,krasuangphanit
กระทรวงมหาดไทย,kra-1 sRN1 ma-4 hAt2 Taj1,krasuangmahatthai
กระทรวงยุติธรรม,kra-1 sRN1 jut4 ti?2 Tam1,krasuangyuttitham
กระทรวงศึกษาธิการ,kra-1 sRN1 svk2 sA-5 Ti?4 kAn1,krasuangsueksathikan
กระทรวงสาธารณสุข,kra-1 sRN1 sA-5 TA-1 ra-4 na-4 suk2,krasuangsatharanasuk
กระทรวงอุตสาหกรรม,kra-1 sRN1 ?ut2 sA-5 ha?2 kam1,krasuangutsahakam
กระทรวงเกษตรฯ,kra-1 sRN1 ka-2 sEt2,krasuangkaset
กระทรวงเกษตรและสหกรณ์,kra-1 sRN1 ka-2 sEt2 ly?4 sa-1 ha-2 kXn1,krasuangkasetlaesahakon
กระทรวงแรงงานและสวัสดิการสังคม,kra-1 sRN1 rYN1 NAn1 ly?4 sa-1 wat2 di?2 kAn1 saN5 Kom1,krasuangraengnganlaesawatdikansangkhom
กระทะ,kra-1 Ta?4,kratha
กระทะทอง,kra-1 Ta?4 TXN1,krathathong
กระทัดรัด,kra-1 Tat4 rat4,krathatrat
กระทันหัน,kra-1 Tan1 han5,krathanhan
กระทั่ง,kra-1 TaN3,krathang
กระทา,kra-1 TA-1,kratha
กระทาชาย,kra-1 TA-1 CAj1,krathachai
กระทำ,kra-1 Tam1,kratham
กระทำการ,kra-1 Tam1 kAn1,krathamkan
กระทำความผิด,kra-1 Tam1 KwAm1 Pit2,krathamkhwamphit
กระทำผิดกฎหมาย,kra-1 Tam1 Pit2 kot2 mAj5,krathamphitkotmai
กระทิง,kra-1 TiN1,krathing
กระทืบ,kra-1 TVp3,krathuep
กระทุง,kra-1 TuN1,krathung
กระทุ่ม,kra-1 Tum3,krathum
กระทุ่มน้ำ,kra-1 Tum3 nAm4,krathumnam
กระทุ้ง,kra-1 TuN4,krathung
กระทุ้งเส้า,kra-1 TuN4 saw3,krathungsao
กระทู้,kra-1 TU-4,krathu
กระทู้ถาม,kra-1 TU-4 TAm5,krathutham
กระท่อนกระแท่น,kra-1 TXn3 kra-1 TYn3,krathonkrathaen
กระท่อม,kra-1 TXm3,krathom
กระท้อน,kra-1 TXn4,krathon
กระนั้น,kra-1 nan4,kranan
กระนี้,kra-1 nI-4,krani
กระบก,kra-1 bok2,krabok
กระบวน,kra-1 bRn1,krabuan
กระบวนการ,kra-1 bRn1 kAn1,krabuankan
กระบวนการยุติธรรม,kra-1 bRn1 kAn1 jut4 ti?2 Tam1,krabuankanyuttitham
กระบวนทัศน์,kra-1 bRn1 Tat4,krabuanthat
กระบวนท่า,kra-1 bRn1 TA-3,krabuantha
กระบวนแห่,kra-1 bRn1 hY-2,krabuanhae
กระบวย,kra-1 bRj1,krabuai
กระบอก,kra-1 bXk2,krabok
กระบอกฉีด,kra-1 bXk2 CIt2,krabokchit
กระบอกตา,kra-1 bXk2 tA-1,krabokta
กระบอกปืน,kra-1 bXk2 pVn1,krabokpuen
กระบอกสูบ,kra-1 bXk2 sUp2,kraboksup
กระบอกเสียง,kra-1 bXk2 sJN5,kraboksiang
กระบอง,kra-1 bXN1,krabong
กระบองเพชร,kra-1 bXN1 Pet4,krabongphet
กระบะ,kra-1 ba?2,kraba
กระบัง,kra-1 baN1,krabang
กระบัด,kra-1 bat2,krabat
กระบับ,kra-1 bap2,krabap
กระบา,kra-1 bA-1,kraba
กระบาก,kra-1 bAk2,krabak
กระบาย,kra-1 bAj1,krabai
กระบาล,kra-1 bAn1,kraban
กระบิด,kra-1 bit2,krabit
กระบิดกระบวน,kra-1 bit2 kra-1 bRn1,krabitkrabuan
กระบิล,kra-1 bin1,krabin
กระบิ้ง,kra-1 biN3,krabing
กระบี่,kra-1 bI-2,krabi
กระบี่กระบอง,kra-1 bI-2 kra-1 bXN1,krabikrabong
กระบือ,kra-1 bV-1,krabue
กระบุง,kra-1 buN1,krabung
กระบุงโกย,kra-1 buN1 kOj1,krabungkoi
กระบุ่มกระบ่าม,kra-1 bum2 kra-1 bAm2,krabumkrabam
กระบ่า,kra-1 bA-2,kraba
กระบ้า,kra-1 bA-3,kraba
กระปรี้กระเปร่า,kra-1 prI-3 kra-1 praw2,kraprikraprao
กระปอดกระแปด,kra-1 pXt2 kra-1 pYt2,krapotkrapaet
กระปุก,kra-1 puk2,krapuk
กระปุกหลุก,kra-1 puk2 luk2,krapukluk
กระปุกออมสิน,kra-1 puk2 ?Xm1 sin5,krapukomsin
กระปุ๊กลุก,kra-1 puk4 luk4,krapukluk
กระป้อกระแป้,kra-1 pX-3 kra-1 pY-3,krapokrapae
กระป๋อง,kra-1 pxN5,krapong
กระป๋องน้ำ,kra-1 pxN5 nAm4,krapongnam
กระผม,kra-1 Pom5,kraphom
กระผีก,kra-1 PIk2,kraphik
กระผีกริ้น,kra-1 PIk2 rin4,kraphikrin
กระพรวน,kra-1 PrRn1,kraphruan
กระพริบ,kra-1 Prip4,kraphrip
กระพริบตา,kra-1 Prip4 tA-1,kraphripta
กระพัง,kra-1 PaN1,kraphang
กระพัน,kra-1 Pan1,kraphan
กระพือ,kra-1 PV-1,kraphue
กระพือข่าว,kra-1 PV-1 KAw2,kraphuekhao
กระพือปีก,kra-1 PV-1 pIk2,kraphuepik
กระพุ่ม,kra-1 Pum3,kraphum
กระพุ้ง,kra-1 PuN4,kraphung
กระฟัดกระเฟียด,kra-1 fat4 kra-1 fJt3,krafatkrafiat
กระมัง,kra-1 maN1,kramang
กระยา,kra-1 jA-1,kraya
กระยาง,kra-1 jAN1,krayang
กระยาหาร,kra-1 jA-1 hAn5,krayahan
กระยาเลย,kra-1 jA-1 lZj1,krayaloei
กระยึกกระยัก,kra-1 jvk4 kra-1 jak4,krayuekkrayak
กระย่องกระแย่ง,kra-1 jXN3 kra-1 jYN3,krayongkrayaeng
กระรอก,kra-1 rXk3,krarok
กระวนกระวาย,kra-1 won1 kra-1 wAj1,krawonkrawai
กระวนกระวายใจ,kra-1 won1 kra-1 wAj1 caj1,krawonkrawaichai
กระวาด,kra-1 wAt3,krawat
กระวาน,kra-1 wAn1,krawan
กระวีกระวาด,kra-1 wI-1 kra-1 wAt3,krawikrawat
กระษาปณ์,kra-1 sAp2,krasap
กระสร้อย,kra-1 sa-1 rXj4,krasaroi
กระสวน,kra-1 sRn5,krasuan
กระสวย,kra-1 sRj5,krasuai
กระสอบ,kra-1 sXp2,krasop
กระสอบทราย,kra-1 sXp2 sAj1,krasopsai
กระสัง,kra-1 saN5,krasang
กระสัน,kra-1 san5,krasan
กระสับกระส่าย,kra-1 sap2 kra-1 sAj2,krasapkrasai
กระสา,kra-1 sA-5,krasa
กระสาย,kra-1 sAj5,krasai
กระสือ,kra-1 sV-5,krasue
กระสุงกระสิง,kra-1 suN5 kra-1 siN5,krasungkrasing
กระสุน,kra-1 sun5,krasun
กระสุนปืน,kra-1 sun5 pVn1,krasunpuen
กระสูบ,kra-1 sUp2,krasup
กระหนก,kra-1 nok2,kranok
กระหนาบ,kra-1 nAp2,kranap
กระหนาบคาบเกี่ยว,kra-1 nAp2 KAp3 kJw2,kranapkhapkiao
กระหนุงกระหนิง,kra-1 nuN5 kra-1 niN5,kranungkraning
กระหน่ำ,kra-1 nam2,kranam
กระหมวด,kra-1 mRt2,kramuat
กระหมิบ,kra-1 mip2,kramip
กระหมุบ,kra-1 mup2,kramup
