thai,phone
ก้มหลัง,
ก้มหัว,kom3 hV-5
กมัณฑลุ,
กมุท,
กยต.,
ก็ยังงั้นๆ,
กร,kXn1
กรก,
กรกช,
กรกฎ,kX-1 ra-4 kot2
กรกฎา,
กรกฎาคม,ka-2 ra-4 ka-2 dA-1 Kom1
กรกัติ,
กรง,kroŋ1
กรงขัง,kroŋ1 Kaŋ5
กรงทอง,kroŋ1 TXŋ1
กรงนก,
กรงปินัง,
กรงเล็บ,kroŋ1 lep4
กรชกาย,
กรณฑ์,kron1
กรณิการ์,
กรณี,ka-2 ra-4 nI-1
กรณีจำเป็น,ka-2 ra-4 nI-1 cam1 pen1
กรณีที่,
กรณีพิพาท,ka-2 ra-4 nI-1 Piʔ4 PAt3
กรณีพิเศษ,ka-2 ra-4 nI-1 Piʔ4 sEt2
กรณีย์,ka-2 ra-4 nI-1
กรณียกิจ,ka-2 ra-4 nI-1 ja-4 kit2
กรณียะ,
กรณีเร่งด่วน,
กรณีศึกษา,ka-2 ra-4 nI-1 sɯk2 sA-5
กรด,krot2
กรดกำมะถัน,krot2 kam1 maʔ4 Tan5
กรดไขมัน,krot2 Kaj5 man1
กรดน้ำส้ม,krot2 nam4 som3
กรดฟอสฟอริก,
กรดมะนาว,
กรดอะมิโน,krot2 ʔaʔ2 miʔ4 nO-1
กรน,kron1
กรนทา,
กรนนเช้า,
กร่นุ,
กรบ,
กรบูร,ka-2 ra-4 bUn1
กรป.กลาง,
กรพินธุ์,
กรภุม,
กรม,krom1
กรมกรอม,
กรมการ,krom1 kAn1
กรมการขนส่งทางบก,krom1 kAn1 Kon5 soŋ2 TAŋ1 bok2
กรมการค้าต่างประเทศ,krom1 kAn1 KA-4 tAŋ2 pra-1 TEt3
กรมการค้าภายใน,krom1 kAn1 KA-4 PAj1 naj1
กรมการจังหวัด,krom1 kAn1 caŋ1 wat2
กรมการจัดหางาน,krom1 kAn1 cat2 hA-5 ŋAn1
กรมการนอกทำเนียบ,
กรมการในทำเนียบ,
กรมการบินพาณิชย์,krom1 kAn1 bin1 PA-1 nit4
กรมการปกครอง,krom1 kAn1 pok2 KrXŋ1
กรมการประกันภัย,
กรมการผังเมือง,
กรมการฝึกหัดครู,
กรมการพัฒนาชุมชน,krom1 kAn1 Pat4 Ta-4 nA-1 Cum1 Con1
กรมการพิเศษ,
กรมการแพทย์,krom1 kAn1 PYt3
กรมการศาสนา,
กรมการศึกษานอกโรงเรียน,
กรมการอำเภอ,krom1 kAn1 ʔam1 PZ-1
กรมเกรียม,
กรมควบคุมมลพิษ,
กรมควบคุมโรคติดต่อ,
กรมคุมประพฤติ,
กรมเจ้าท่า,krom1 caw3 TA-3
กรมชล,
กรมชลประทาน,krom1 Con1 la-4 pra-1 TAn1
กรมตรวจบัญชีสหกรณ์,
กรมตำรวจ,krom1 tam1 rVt2
กรมทรัพย์สินทางปัญญา,krom1 sap4 sin5 TAŋ1 pan1 jA-1
กรมทรัพยากรธรณี,
กรมทหารราบ,
กรมทะเบียนการค้า,
กรมท่า,krom1 ma-4 TA-3
กรมท่ากลาง,
กรมท่าขวา,
กรมทางหลวง,krom1 TAŋ1 lVŋ5
กรมท่าซ้าย,
กรมที่ดิน,krom1 TI-3 din1
กรมธนารักษ์,krom1 Ta-4 nA-1 rak4
กรมธรรม์,krom1 ma-4 Tan1
กรมธรรม์ประกันภัย,krom1 ma-4 Tan1 pra-1 kan1 Paj1
กรมนา,krom1 nA-1
กรมบังคับคดี,
กรมบัญชีกลาง,krom1 ban1 CI-1 klAŋ1
กรมประชาสงเคราะห์,krom1 pra-1 CA-1 soŋ5 Krɔʔ4
กรมประชาสัมพันธ์,krom1 pra-1 CA-1 sam5 Pan1
กรมประมง,krom1 pra-1 moŋ1
กรมปศุสัตว์,krom1 pa-2 suʔ2 sat2
กรมป่าไม้,krom1 pA-2 mAj4
กรมไปรษณีย์โทรเลข,
กรมพระคลัง,
กรมพระธรรมนูญ,krom1 Pra-4 Tam1 ma-4 nUn1
กรมพระนครบาล,
กรมพระยา,krom1 Pra-4 jA-1
กรมพระยาดำรงราชานุภาพ,
กรมพระราชวัง,
กรมพลศึกษา,
กรมพัฒนาที่ดิน,
กรมพัฒนาฝีมือแรงงาน,
กรมพัฒนาและส่งเสริมพลังงาน,
กรมพิธีการทูต,
กรมเมือง,
กรมยุโรป,
กรมโยธาธิการ,krom1 jO-1 TA-1 Tiʔ4 kAn1
กรมราชทัณฑ์,krom1 rAt3 Ca-4 Tan1
กรมราชองครักษ์,
กรมโรงงานอุตสาหกรรม,
กรมวัง,
กรมวิชาการ,
กรมวิชาการเกษตร,
กรมวิทย์ฯ,
กรมวิทยาศาสตร์การแพทย์,
กรมวิทยาศาสตร์บริการ,
กรมวิเทศสหการ,
กรมศักดิ์,
กรมศิลป์ฯ,
กรมศิลปากร,krom1 sin5 pA-1 kXn1
กรมศุลกากร,krom1 sun5 la-4 kA-1 kXn1
กรมศุลฯ,
กรมเศรษฐกิจการพาณิชย์,
กรมส่งเสริมการเกษตร,
กรมส่งเสริมการส่งออก,
กรมส่งเสริมคุณภาพสิ่งแวดล้อม,
กรมส่งเสริมสหกรณ์,
กรมส่งเสริมอุตสาหกรรม,
กรมสนธิสัญญาและกฎหมาย,krom1 son5 Tiʔ4 san5 jA-1 lɛʔ4 kot2 mAj5
กรมสมเด็จ,
กรมสรรพสามิต,
กรมสรรพากร,krom1 san5 PA-1 kXn1
กรมสวัสดิการและคุ้มครองแรงงาน,krom1 sa-1 wat2 diʔ2 kAn1 lɛʔ4 Kum4 KrXŋ1 rYŋ1 ŋAn1
กรมสามัญศึกษา,
กรมสารนิเทศ,krom1 sA-5 ra-4 niʔ4 TEt3
กรมสุขภาพจิต,krom1 suk2 Ka-2 PAp3 cit2
กรมหมื่น,krom1 ma-1 mWn2
กรมหลวง,krom1 lVŋ5
กรมองค์การระหว่างประเทศ,
กรมอนามัย,krom1 ʔa-2 nA-1 maj1
กรมอเมริกาและแปซิฟิกใต้,
กรมอาชีวศึกษา,
กรมอาเซียน,
กรมอุตินิยมวิทยา,
กรมอุติฯ,
กรมอุตุ,
กรมอุตุนิยมวิทยา,krom1 ʔuʔ2 tuʔ2 niʔ4 jom1 wit4 Ta-4 jA-1
กรมอุทยานฯ,
กรมเอเชียตะวันออก,
กรมเอเชียใต้ ตะวันออกกลาง และแอฟริกา,
กรร,
กรรกง,
กรรกฎ,
กรรกศ,
กรรเกด,
กรรไกร,kan1 kraj1
กรรเจียก,
กรรเจียกจอน,
กรรชิง,kan1 Ciŋ1
กรรชิด,
กรรเชอ,
กรรเช้า,
กรรเชียง,kan1 CJŋ1
กรรเชียงปู,
กรรโชก,kan1 COk3
กรรซ้นน,
กรรแซง,
กรรฐ์,
กรรฐา,
กรรณ,kan1
กรรณยุคล,
กรรณา,
กรรณิกา,
กรรณิการ์,
กรรดิ,
กรรดิก,
กรรดึก,
กรรตุ,kat2 tuʔ2
กรรตุการก,kan1 tuʔ2 kA-1 rok4
กรรตุวาจก,kat2 tuʔ2 wA-1 cok2
กรรตุสัญญา,
กรรไตร,kan1 traj1
กรรทบ,
กรรแทก,
กรรแทรก,
กรรบาสิก,
กรรบาสิกพัสตร์,
กรรบิด,
กรรบูร,
กรรปาสิก,
กรรปุระ,
กรรพุม,
กรรพุ่ม,
กรรภิรมย์,
กรรม,kam1
กรรม์,
กรรมกร,kam1 ma-4 kXn1
กรรมกรณ์,
กรรมการ,kam1 ma-4 kAn1
กรรมการก,kam1 ma-4 kA-1 rok4
กรรมการตัดสิน,
กรรมการผู้จัดการ,kam1 ma-4 kAn1 PU-3 cat2 kAn1
กรรมการิณี,
กรรมเก่า,kam1 kaw2
กรรมขัย,
กรรมคติ,
กรรมชรูป,
กรรมชวาต,
กรรมฐาน,kam1 ma-4 TAn5
กรรมตามสนอง,
กรรมบถ,
กรรมพันธุ์,kam1 ma-4 Pan1
กรรมพิธี,kam1 ma-4 Piʔ4 TI-1
กรรม์ภิรมย์,
กรรมวาจก,kam1 ma-4 wA-1 cok2
กรรมวาจา,
กรรมวาจาจารย์,
กรรมวิธี,kam1 ma-4 wiʔ4 TI-1
กรรมวิธีการผลิต,
กรรมวิบาก,
กรรมเวร,kam1 wEn1
กรรมศาลา,
กรรมสัมปาทิก,
กรรมสิทธิ์,kam1 ma-4 sit2
กรรมสิทธิ์รวม,
กรรมัชวาต,
กรรมาชน,
กรรมาชีพ,kam1 mA-1 CIp3
กรรมาธิการ,kam1 mA-1 Tiʔ4 kAn1
กรรมาร,
กรรลี,
กรรลึง,
กรรษก,
กรรสะ,
กรรแสง,
กรรหาย,
กรรเหิม,
กรรโหย,
กรรเอา,
กรรุณา,
กรลุมพาง,
กร๊วก,krVk4
กรวด,krVt2
กรวดทราย,krVt2 sAj1
กรวดน้ำ,krVt2 nAm4
กรวดน้ำคว่ำกะลา,
กรวดน้ำคว่ำขัน,krVt2 nAm4 Kwam3 Kan5
กรวน,
กรวบ,
กร๊วบ,
กรวม,
กร้วม,krVm3
กรวย,krVj1
กรวยเชิง,
กรวยบ้าน,
กรวยป่า,
กรวิก,
กรสานต์,
กรสาปน,
กรสาปน์,
กรสุทธิ์,
กรอ,krX-1
กร้อ,
กรอ.,kX-1 rX-1 ʔX-1
กรอก,krXk2
กร็อกกร๋อย,krɔk2 krXj5
กรอกแกรก,krXk2 krYk2
กรอกรุย,
กรอง,krXŋ1
กรองกรอย,
กรองทอง,krXŋ1 TXŋ1
กรอด,krXt2
กร่อน,krXn2
กรอบ,krXp2
กร๊อบ,
กรอบเกรียบ,
กรอบแกรบ,krXp2 krYp2
กร๊อบแกร๊บ,
กรอบความคิด,
กรอบเค็ม,
กรอบเช็ดหน้า,krXp2 Cet4 nA-3
กรอบประตู,
กรอบรูป,krXp2 rUp3
กรอบหน้า,krXp2 nA-3
กรอม,krXm1
กร่อม,krXm2
กร่อม ๆ,krXm2 krXm2
กร่อย,krXj2
กระ,kraʔ2
กระกร,kra-1 kXn1
กระกรับกระเกรียบ,
กระกรี๊ด,
กระกรุ่น,
กระกลับกลอก,
กระกวด,
กระกอง,
กระกัด,
กระกัติ,
กระกี้,
กระกูล,
กระเกรอก,
กระเกริก,
กระเกริ่น,
กระเกรียม,
กระเกรียว,
กระเกรี้ยว,
กระเกลือก,
กระคน,
กระคาย,
กระคุก,
กระงกกระงัน,
กระงกกระเงิ่น,
กระง่องกระแง่ง,
กระงอดกระแงด,
กระง่อนกระแง่น,
กระเง้ากระงอด,
กระโงก,
กระจก,kra-1 cok2
กระจกข้าง,kra-1 cok2 KAŋ3
กระจกเงา,kra-1 cok2 ŋaw1
กระจกตา,kra-1 cok2 tA-1
กระจกนูน,kra-1 cok2 nUn1
กระจกฝ้า,kra-1 cok2 fA-3
กระจกรถ,
กระจกเว้า,kra-1 cok2 waw4
กระจกส่อง,kra-1 cok2 sXŋ2
กระจกใส,
กระจกหน้ารถ,kra-1 cok2 nA-3 rot4
กระจกหน้ารถยนต์,kra-1 cok2 nA-3 rot4 jon1
กระจกหลัง,kra-1 cok2 laŋ5
กระจกหุง,kra-1 cok2 huŋ5
กระจง,kra-1 coŋ1
กระจร,
กระจอก,kra-1 cXk2
กระจ๊อก,
กระจอกงอกง่อย,kra-1 cXk2 ŋXk3 ŋXj3
กระจอกชวา,
กระจอกเทศ,
กระจองงอง,
กระจองงอง ๆ,
กระจองหง่อง,
กระจ๋องหง่อง,
กระจองอแง,
กระจ้อน,
กระจอนหู,
กระจ้อย,kra-1 cXj3
กระจ้อยร่อย,kra-1 cXj3 rXj3
กระจ๋อหวอ,
กระจะ,kra-1 caʔ2
กระจัก,
กระจัง,
กระจังหลังเบี้ย,
กระจัด,kra-1 cat2
กระจัดกระจาย,kra-1 cat2 kra-1 cAj1
กระจัดพลัดพราย,kra-1 cat2 Plat4 PrAj1
กระจับ,kra-1 cap2
กระจับบก,
กระจับปิ้ง,
กระจับปี่,
กระจ่า,kra-1 cA-2
กระจ่าง,kra-1 cAŋ2
กระจ่างแจ้ง,kra-1 cAŋ2 cYŋ3
กระจาด,kra-1 cAt2
กระจาน,
กระจาบ,kra-1 cAp2
กระจาม,
กระจาย,kra-1 cAj1
กระจายนะมณฑล,
กระจายเสียง,kra-1 cAj1 sJŋ5
กระจายหางดอก,
กระจายอำนาจ,kra-1 cAj1 ʔam1 nAt3
กระจาว,
กระจิก,
กระจิ๋ง,
กระจิด,
กระจิบ,kra-1 cip2
กระจิ๋ม,
กระจิริด,kra-1 ciʔ2 rit4
กระจิ๋ว,kra-1 ciw5
กระจิ๋วหลิว,kra-1 ciw5 liw5
กระจี้,
กระจี๋,
กระจุก,kra-1 cuk2
กระจุกกระจิก,kra-1 cuk2 kra-1 cik2
กระจุกกระจุย,
กระจุ๋งกระจิ๋ง,
กระจุบ,
กระจุ๊บ,
กระจุบกระจิบ,
กระจุ๋มกระจิ๋ม,kra-1 cum5 kra-1 cim5
กระจุย,kra-1 cuj1
กระจุยกระจาย,
กระจู้,
กระจู๋กระจี๋,
กระจูด,kra-1 cUt2
กระเจอะกระเจิง,kra-1 cəʔ2 kra-1 cZŋ1
กระเจา,kra-1 caw1
กระเจ่า,
กระเจ้า,
กระเจาะ,
กระเจิง,kra-1 cZŋ1
กระเจิดกระเจิง,kra-1 cZt2 kra-1 cZŋ1
กระเจี้ยง,
กระเจี๊ยบ,kra-1 cJp4
กระเจี๊ยบเปรี้ยว,
กระเจียว,
กระเจี๊ยว,kra-1 cJw4
กระแจะ,
กระแจ๊ะ,
กระโจ้,
กระโจน,kra-1 cOn1
กระโจม,kra-1 cOm1
กระโจมกระจาม,
กระโจมทอง,kra-1 cOm1 TXŋ1
กระโจมไฟ,kra-1 cOm1 faj1
กระโจมอก,kra-1 cOm1 ʔok2
กระฉง,
กระฉอก,kra-1 CXk2
กระฉอกกระแฉก,kra-1 CXk2 kra-1 CYk2
กระฉ่อน,kra-1 CXn2
กระฉับกระเฉง,kra-1 Cap2 kra-1 CEŋ5
กระฉิ่ง,
กระฉีก,
กระฉูด,kra-1 CUt2
กระเฉก,
กระเฉด,kra-1 CEt2
กระแฉก,
กระแฉ่น,
กระโฉกกระเฉก,kra-1 COk2 kra-1 CEk2
กระโฉม,
กระชง,
กระชดกระช้อย,
กระชอก,
กระชอน,kra-1 CXn1
กระชอม,
กระชอมดอก,
กระช้อย,
กระช้อยนางรำ,
กระชัง,kra-1 Caŋ1
กระชังก้นรั่ว,kra-1 Caŋ1 kon3 rV-3
กระชังหน้าใหญ่,
กระชั้น,kra-1 Can4
กระชั้นชิด,kra-1 Can4 Cit4
กระชับ,kra-1 Cap4
กระชาก,kra-1 CAk3
กระชากเสียง,
กระช่าง,
กระชาเดิม,
กระชาย,kra-1 CAj1
กระชิง,
กระชิด,
กระชุ,kra-1 Cu-4
กระชุก,
กระชุน,
กระชุ่มกระชวย,kra-1 Cum3 kra-1 CVj1
กระเชอ,kra-1 CZ-1
กระเชอก้นรั่ว,kra-1 CZ-1 kon3 rV-3
กระเชา,
กระเช้า,kra-1 Caw4
กระเช้าผีมด,
กระเช้าไฟฟ้า,kra-1 Caw4 faj1 fA-4
กระเช้าสวรรค์,
กระเช้าสีดา,
กระเชียง,
กระเชียงปู,
กระแชง,kra-1 CYŋ1
กระแชงอ่อน,
กระแชะ,
กระโชก,kra-1 COk3
กระโชกกระชั้น,
กระโชกกระชาก,kra-1 COk3 kra-1 CAk3
กระโชกโฮกฮาก,kra-1 COk3 hOk3 hAk3
กระซวย,
กระซ่องกระแซ่ง,
กระซับ,
กระซ่าง,
กระซาบ,kra-1 sAp3
กระซิก,kra-1 sik4
กระซิก ๆ,
กระซิกๆ,
กระซิกกระซวย,
กระซิกกระซี้,
กระซิบ,kra-1 sip4
กระซิบกระซาบ,kra-1 sip4 kra-1 sAp3
กระซี้,
กระซี้กระซ้อ,
กระซุง,
กระซุบกระซิบ,
กระซุ้ม,
กระซู่,kra-1 sU-3
กระเซ็น,kra-1 sen1
กระเซอ,
กระเซอะกระเซอ,
กระเซอะกระเซิง,kra-1 səʔ4 kra-1 sZŋ1
กระเซ้า,kra-1 sAw4
กระเซ้ากระซี้,kra-1 sAw4 kra-1 sI-4
กระเซิง,kra-1 sZŋ1
กระแซ,
กระแซง,
กระแซะ,kra-1 sɛʔ4
กระโซกระเซ,
กระฎี,
กระฎุมพี,kra-1 dum1 PI-1
กระดก,kra-1 dok2
กระดกกระดนโด่,
กระด้ง,kra-1 doŋ3
กระด้งมอญ,
กระดนโด่,
กระดวง,
กระดวน,
กระด้วมกระเดี้ยม,
กระดอ,kra-1 dX-1
กระดอง,kra-1 dXŋ1
กระดองหาย,
กระดอน,kra-1 dXn1
กระดอม,
กระดักกระเดี้ย,
กระดังงัว,
กระดังงา,kra-1 daŋ1 ŋA-1
กระดังงาจีน,kra-1 daŋ1 ŋA-1 cIn1
กระดังงาเถา,
กระดังงาลนไฟ,kra-1 daŋ1 ŋA-1 lon1 faj1
กระดาก,kra-1 dAk2
กระดากกระเดื่อง,
กระดากใจ,kra-1 dAk2 caj1
กระดากเดื่อง,
กระดากปาก,
กระดากลิ้น,
กระดากอาย,
กระด้าง,kra-1 dAŋ3
กระด้างกระเดื่อง,kra-1 dAŋ3 kra-1 dRŋ2
กระดางลาง,
กระดาด,
กระดาดขาว,
กระดาดดำ,
กระดาดแดง,
กระดาน,kra-1 dAn1
กระดานข่าว,kra-1 dAn1 KAw2
กระดานชนวน,kra-1 dAn1 Ca-4 nVn1
กระดานชัย,
กระดานดำ,kra-1 dAn1 dam1
กระดานโต้คลื่น,kra-1 dAn1 tO-3 KlWn3
กระดานถีบ,kra-1 dAn1 TIp2
กระดานพน,
กระดานพิง,
กระดานไฟ,
กระดานลื่น,kra-1 dAn1 lWn3
กระดานเลียบ,
กระดานหก,kra-1 dAn1 hok2
กระดานหมากรุก,kra-1 dAn1 mAk2 ruk4
กระดานโหร,
กระดาษ,kra-1 dAt2
กระดาษกรอง,kra-1 dAt2 krXŋ1
กระดาษก๊อบปี้,
กระดาษกาว,
กระดาษแก้ว,kra-1 dAt2 kYw3
กระดาษข่อย,
กระดาษเขียนจดหมาย,kra-1 dAt2 KJn5 cot2 mAj5
กระดาษเขียนแบบ,
กระดาษแข็ง,kra-1 dAt2 Kɛŋ5
กระดาษไข,
กระดาษเงินกระดาษทอง,
กระดาษชานอ้อย,
กระดาษชำระ,kra-1 dAt2 Cam1 raʔ4
กระดาษเช็ดปาก,kra-1 dAt2 Cet4 pAk2
กระดาษซับ,kra-1 dAt2 sap4
กระดาษซับมัน,
กระดาษทราย,kra-1 dAt2 sAj1
กระดาษเทศ,
กระดาษปอนด์,
กระดาษเพลา,
กระดาษฟาง,kra-1 dAt2 fAŋ1
กระดาษโรเนียว,
กระดาษว่าว,
กระดาษสา,kra-1 dAt2 sA-5
กระดาษสี,kra-1 dAt2 sI-5
กระดาษหนังสือพิมพ์,
กระดาษอาร์ต,
กระดำกระด่าง,kra-1 dam1 kra-1 dAŋ2
กระดิก,kra-1 dik2
กระดิกกระเดี้ย,kra-1 dik2 kra-1 dJ-3
กระดิกหู,kra-1 dik2 hU-5
กระดิ่ง,kra-1 diŋ2
กระดิ้ง,
กระดิ่งกุ๊งกิ๊ง,
กระดิ่งทอง,
กระดิบ,
กระดิบ ๆ,
กระดิบๆ,
กระดี่,kra-1 dI-2
กระดี๊กระด๊า,kra-1 dI-4 kra-1 dA-4
กระดี้กระเดียม,
